City,Airport,IATA Siglum,URL,Latitude,Longitude
Brazil,Uberaba Airport,UBA/SBUR,https://www.flightradar24.com/data/airports/uba,-19.764999,-47.964699
Brazil,Uberlandia Airport,UDI/SBUL,https://www.flightradar24.com/data/airports/udi,-18.882799,-48.225498
Brazil,Uruguaiana Ruben Berta International Airport,URG/SBUG,https://www.flightradar24.com/data/airports/urg,-29.782101,-57.038101
Brazil,Valenca Airport,VAL/SNVB,https://www.flightradar24.com/data/airports/val,-13.2965,-38.992401
Brazil,Varginha Airport,VAG/SBVG,https://www.flightradar24.com/data/airports/vag,-21.59,-45.473301
Brazil,Vilhena Airport,BVH/SBVH,https://www.flightradar24.com/data/airports/bvh,-12.6943,-60.098202
Brazil,Vitoria Eurico de Aguiar Salles Airport,VIX/SBVT,https://www.flightradar24.com/data/airports/vix,-20.257999,-40.286301
Brazil,Vitoria da Conquista Airport,VDC/SBQV,https://www.flightradar24.com/data/airports/vdc,-14.86,-40.860001
Nicaragua,Managua Augusto C. Sandino International Airport,MGA/MNMG,https://www.flightradar24.com/data/airports/mga,12.14149,-86.168098
Philippines,Cotabato Awang Airport,CBO/RPWC,https://www.flightradar24.com/data/airports/cbo,7.165242,124.209602
Colombia,Valledupar Alfonso Lopez Pumarejo Airport,VUP/SKVP,https://www.flightradar24.com/data/airports/vup,10.43507,-73.249397
Colombia,Villavicencio La Vanguardia Airport,VVC/SKVV,https://www.flightradar24.com/data/airports/vvc,4.167875,-73.613701
Colombia,Yopal El Alcaravan Airport,EYP/SKYP,https://www.flightradar24.com/data/airports/eyp,5.320729,-72.386284
United Arab Emirates,Fujairah International Airport,FJR/OMFJ,https://www.flightradar24.com/data/airports/fjr,25.112221,56.323959
Philippines,Davao City Francisco Bangoy International Airport,DVO/RPMD,https://www.flightradar24.com/data/airports/dvo,7.125522,125.645699
Philippines,Del Carmin Sayak Airport,IAO/RPNS,https://www.flightradar24.com/data/airports/iao,9.858889,126.013885
